source_timestamp,target_timestamp,actual,fuzzy_state,forecast_labels,predicted
2018-03-15,2018-03-16,1417350016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-16,2018-03-17,1267810048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-17,2018-03-18,2685499904.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-18,2018-03-19,2046790016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-19,2018-03-20,1833680000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-20,2018-03-21,1781270016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-21,2018-03-22,1523459968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-22,2018-03-23,1596349952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-23,2018-03-24,1300009984.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-24,2018-03-25,1151170048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-25,2018-03-26,1638880000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-26,2018-03-27,1617939968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-27,2018-03-28,1514179968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-28,2018-03-29,1970230016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-29,2018-03-30,1878130048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-30,2018-03-31,1323920000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-03-31,2018-04-01,1256930048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-01,2018-04-02,1102259968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-02,2018-04-03,1363399936.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-03,2018-04-04,1287730048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-04,2018-04-05,1210680064.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-05,2018-04-06,967105984.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-06,2018-04-07,951475008.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-07,2018-04-08,948488000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-08,2018-04-09,1478390016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-09,2018-04-10,1196000000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-10,2018-04-11,1439040000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-11,2018-04-12,2519360000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-12,2018-04-13,2419249920.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-13,2018-04-14,1519079936.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-14,2018-04-15,1726089984.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-15,2018-04-16,1758979968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-16,2018-04-17,1760359936.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-17,2018-04-18,1762940032.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-18,2018-04-19,2256869888.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-19,2018-04-20,2849469952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-20,2018-04-21,2612460032.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-21,2018-04-22,2426269952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-22,2018-04-23,2386830080.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-23,2018-04-24,3581860096.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-24,2018-04-25,4216140032.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-25,2018-04-26,2984009984.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-26,2018-04-27,2598129920.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-27,2018-04-28,2496659968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-28,2018-04-29,2740559872.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-29,2018-04-30,2853100032.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-04-30,2018-05-01,2678960128.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-01,2018-05-02,2822269952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-02,2018-05-03,4210939904.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-03,2018-05-04,3533410048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-04,2018-05-05,3035040000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-05,2018-05-06,3105570048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-06,2018-05-07,4316120064.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-07,2018-05-08,2920489984.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-08,2018-05-09,2877870080.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-09,2018-05-10,2748950016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-10,2018-05-11,3290080000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-11,2018-05-12,2668480000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-12,2018-05-13,2362500096.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-13,2018-05-14,3005110016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-14,2018-05-15,2523069952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-15,2018-05-16,2476130048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-16,2018-05-17,2350619904.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-17,2018-05-18,2305740032.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-18,2018-05-19,2021549952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-19,2018-05-20,2156910080.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-20,2018-05-21,2005170048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-21,2018-05-22,2230469888.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-22,2018-05-23,2995429888.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-23,2018-05-24,2791099904.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-24,2018-05-25,2110919936.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-25,2018-05-26,1694300032.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-26,2018-05-27,1788790016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-27,2018-05-28,2356900096.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-28,2018-05-29,2330820096.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-29,2018-05-30,2053970048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-30,2018-05-31,1985040000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-05-31,2018-06-01,1945890048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-01,2018-06-02,1880390016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-02,2018-06-03,1832550016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-03,2018-06-04,1903430016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-04,2018-06-05,1844269952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-05,2018-06-06,1756530048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-06,2018-06-07,1880140032.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-07,2018-06-08,1637779968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-08,2018-06-09,1519309952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-09,2018-06-10,2234880000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-10,2018-06-11,1982119936.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-11,2018-06-12,1932760064.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-12,2018-06-13,2080130048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-13,2018-06-14,2458650112.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-14,2018-06-15,1808269952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-15,2018-06-16,1314109952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-16,2018-06-17,1264870016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-17,2018-06-18,1513869952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-18,2018-06-19,1726569984.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-19,2018-06-20,1596290048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-20,2018-06-21,1462070016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-21,2018-06-22,2226030080.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-22,2018-06-23,1651379968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-23,2018-06-24,2490579968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-24,2018-06-25,4007950080.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-25,2018-06-26,1356560000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-26,2018-06-27,1368940032.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-27,2018-06-28,1360790016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-28,2018-06-29,1564499968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-29,2018-06-30,1475939968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-06-30,2018-07-01,1511730048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-01,2018-07-02,1625789952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-02,2018-07-03,1683939968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-03,2018-07-04,1549769984.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-04,2018-07-05,1828610048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-05,2018-07-06,1627609984.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-06,2018-07-07,1358360064.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-07,2018-07-08,1344560000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-08,2018-07-09,1533799936.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-09,2018-07-10,1789069952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-10,2018-07-11,1422470016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-11,2018-07-12,1495440000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-12,2018-07-13,1489670016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-13,2018-07-14,1235820032.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-14,2018-07-15,1350160000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-15,2018-07-16,1858680064.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-16,2018-07-17,2288100096.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-17,2018-07-18,2371559936.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-18,2018-07-19,2068739968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-19,2018-07-20,1821350016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-20,2018-07-21,1504310016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-21,2018-07-22,1338589952.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-22,2018-07-23,1596999936.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-23,2018-07-24,2287520000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-24,2018-07-25,1930780032.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-25,2018-07-26,1621560064.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-26,2018-07-27,1734259968.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-27,2018-07-28,1531890048.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-28,2018-07-29,1631910016.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-29,2018-07-30,2141590000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-30,2018-07-31,1820680000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-07-31,2018-08-01,1888060000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-01,2018-08-02,1569300000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-02,2018-08-03,1722340000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-03,2018-08-04,1466540000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-04,2018-08-05,1396820000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-05,2018-08-06,1384880000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-06,2018-08-07,1828350000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-07,2018-08-08,2016080000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-08,2018-08-09,1616610000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-09,2018-08-10,1699400000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-10,2018-08-11,1790370000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-11,2018-08-12,1625420000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-12,2018-08-13,1751190000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-13,2018-08-14,2137850000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-14,2018-08-15,1878150000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-15,2018-08-16,1552970000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-16,2018-08-17,1995460000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-17,2018-08-18,1764020000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-18,2018-08-19,1447910000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-19,2018-08-20,1413790000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-20,2018-08-21,1164120000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-21,2018-08-22,1507660000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-22,2018-08-23,1271160000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-23,2018-08-24,1450170000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-24,2018-08-25,1208360000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-25,2018-08-26,1206650000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-26,2018-08-27,1406790000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-27,2018-08-28,1513350000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-28,2018-08-29,1474460000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-29,2018-08-30,1513100000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-30,2018-08-31,1411910000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-08-31,2018-09-01,1546630000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-09-01,2018-09-02,1321050000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-09-02,2018-09-03,1394490000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-09-03,2018-09-04,1554870000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-09-04,2018-09-05,2390390000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-09-05,2018-09-06,2097310000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-09-06,2018-09-07,1678260000.0,A1,"A1, A2, A3, A4",8007769401.142489
2018-09-07,2018-09-08,1517200000.0,A1,"A1, A2, A3, A4",8007769401.142489
