parameters,order,seasonal_order,mae,rmse,mape
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 1]","[1, 0, 0, 7]",0.0032241213656046598,0.0038589846749428574,0.29940896089697944
"{'p': 1, 'd': 1, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 2]","[1, 0, 0, 7]",0.003222177685652938,0.0038591018369741035,0.29922470624370856
"{'p': 2, 'd': 1, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 0]","[1, 0, 0, 7]",0.003241466332186471,0.003862175410330927,0.30103739247219946
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 1]","[1, 0, 0, 7]",0.003250950226958471,0.0038663387290932753,0.30192418151658795
"{'p': 1, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 1, 2]","[0, 0, 1, 7]",0.0032560334698775507,0.003867382326374322,0.30239967558895464
"{'p': 1, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 1]","[0, 0, 0, 7]",0.0031777512884904936,0.0038834811260434394,0.29504648398777894
"{'p': 2, 'd': 1, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 2]","[1, 0, 0, 7]",0.0032714088323982484,0.0038848014481450612,0.3038304708484661
"{'p': 0, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 2]","[0, 0, 0, 7]",0.0031853903031854535,0.0038861529617515247,0.29576168258863733
"{'p': 1, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[1, 1, 0]","[0, 0, 0, 7]",0.003177393429957509,0.003886454808883721,0.2950098663571153
"{'p': 0, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 1, 1]","[0, 0, 0, 7]",0.0031879899771410035,0.0038884807007285873,0.2960025058116091
"{'p': 2, 'd': 1, 'q': 0, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 0]","[0, 0, 0, 7]",0.0032079399737323876,0.00389299986262612,0.29787230146038324
"{'p': 2, 'd': 1, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 1]","[0, 0, 0, 7]",0.0032176607051098705,0.0038965599735447908,0.29878102731989126
