parameters,order,seasonal_order,mae,rmse,mape
"{'p': 2, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 2]","[0, 0, 0, 7]",18700859068.81385,20349634448.202183,92.86724716411545
"{'p': 0, 'd': 0, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 0, 2]","[0, 0, 0, 7]",19329376177.382866,20926286832.487144,86.32880606065586
"{'p': 2, 'd': 1, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 2]","[0, 0, 1, 7]",19937041900.884243,21469047191.852924,99.40358215995711
"{'p': 2, 'd': 1, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 1, 2]","[1, 0, 1, 7]",20151812159.348186,21570523437.378468,99.92842751189912
"{'p': 2, 'd': 0, 'q': 0, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 0, 0]","[1, 0, 1, 7]",21392213281.19051,21849428044.891296,100.33895542605808
"{'p': 2, 'd': 1, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 1, 2]","[1, 0, 0, 7]",20617248041.36559,22106214157.106342,102.81578259068964
"{'p': 0, 'd': 0, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[0, 0, 1]","[0, 0, 0, 7]",21002555169.84712,22174803301.923126,92.83275139416193
"{'p': 2, 'd': 0, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 0, 2]","[1, 0, 1, 7]",24782647848.676563,25228943993.680336,120.80306035602209
"{'p': 2, 'd': 0, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[2, 0, 1]","[1, 0, 1, 7]",24820916426.982536,25230268559.00619,120.75731693193406
"{'p': 1, 'd': 0, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 0, 2]","[1, 0, 1, 7]",25283174924.148262,25776307810.190754,123.19869411027011
"{'p': 1, 'd': 0, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 1, 'seasonal_period': 7}","[1, 0, 1]","[1, 0, 1, 7]",25372985687.215286,25785675786.440285,121.62738236860189
"{'p': 2, 'd': 0, 'q': 2, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 0, 2]","[0, 0, 0, 7]",26220250306.133316,26831695129.191437,130.54441160201065
"{'p': 2, 'd': 0, 'q': 2, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 0, 2]","[1, 0, 0, 7]",26196764489.788307,26849318975.245857,130.69102358081952
"{'p': 2, 'd': 0, 'q': 1, 'seasonal_p': 0, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 0, 1]","[0, 0, 0, 7]",26383724747.12943,26942033231.729637,130.8452947444217
"{'p': 2, 'd': 0, 'q': 1, 'seasonal_p': 1, 'seasonal_d': 0, 'seasonal_q': 0, 'seasonal_period': 7}","[2, 0, 1]","[1, 0, 0, 7]",26363213269.653095,26974256529.500946,131.25514151892298
